,Unnamed: 0,date,qdpj,meidi,xpp,hksw,hryy,Rqdpj,Rmeidi,Rxpp,Rhksw,Rhryy
94,94,20201214,107.52,84.44,22.49,17.2,90.11,0.06117118112300268,0.005224424136806682,0.032997343983482086,0.025317807984289953,0.006792520966136806
95,95,20201211,101.14,84.0,21.76,16.77,89.5,0.02462340399068097,-0.013010236736015202,-0.04843996280006735,-0.03515300441789648,0.005602255548669888
96,96,20201210,98.68,85.1,22.84,17.37,89.0,0.005996867084931523,0.018262098890963863,0.011448826066293716,-0.002300173527083782,0.008575994786892416
97,97,20201209,98.09,83.56,22.58,17.41,88.24,-0.001120790784195691,-0.03688894709813173,-0.02751866156482974,-0.02831446229252288,-0.02052677085040422
98,98,20201208,98.2,86.7,23.21,17.91,90.07,-0.0032533578919169415,-0.015564516541111573,-0.02046979788434866,0.001676446327252279,0.0021116984785232162
99,99,20201207,98.52,88.06,23.69,17.88,89.88,0.023518413884027645,-0.003400978224308737,0.013599869619927762,-0.016639319003964648,-0.015894374344466833
100,100,20201204,96.23,88.36,23.37,18.18,91.32,0.03188614729524364,-0.013935941428967702,0.04686647008469347,-0.008762378078985833,0.014671268615737532
101,101,20201203,93.21,89.6,22.3,18.34,89.99,0.024215309931207685,-0.003453850015796789,-0.012034912363371397,0.0010911075823343275,0.027716961301511134
102,102,20201202,90.98,89.91,22.57,18.32,87.53,-0.0013181021240544766,0.022381859901315693,0.003550824858220114,0.005473467414172095,-0.0009135549339260862
103,103,20201201,91.1,87.92,22.49,18.22,87.61,0.00109829774906256,0.01224481740825123,-0.004879140307016083,0.021637459956763472,0.01866413625546759
104,104,20201130,91.0,86.85,22.6,17.83,85.99,0.020090580838734162,-0.010879007953956688,0.008442618465404728,-0.00948932602111574,-0.011102230377487032
105,105,20201127,89.19,87.8,22.41,18.0,86.95,0.014227882287205063,0.008923523348537188,0.09544405757412111,-0.012148133935647731,0.010985944546784587
106,106,20201126,87.93,87.02,20.37,18.22,86.0,0.0015934444527934133,-0.028770814438019876,0.004921269774806003,-0.001645188196688352,-0.0015104865475752405
107,107,20201125,87.79,89.56,20.27,18.25,86.13,-0.06834718333188672,-0.012097145470306714,-0.03012861510456588,-0.0206081045849964,-0.012002452222402482
108,108,20201124,94.0,90.65,20.89,18.63,87.17,0.00962059798698256,-0.030634591993631943,-0.01849708890496915,-0.016502903144435255,0.012118562527322574
109,109,20201123,93.1,93.47,21.28,18.94,86.12,0.021167683158349604,0.020318433779595857,-0.009820046180975428,0.017039815909011047,-0.009131427953206206
110,110,20201120,91.15,91.59,21.49,18.62,86.91,0.04625361432324926,-0.02597268685510734,0.01029008144227328,0.004845231551652951,-0.004477362396188234
111,111,20201119,87.03,94.0,21.27,18.53,87.3,0.026311180181108007,0.05140528274087863,-0.0014094435032339092,-0.011802712119151515,0.007935180502603778
112,112,20201118,84.77,89.29,21.3,18.75,86.61,-0.010560999355638145,-0.007030886616255394,-0.0004693733951461887,-0.009554212804811613,0.012548090750263086
113,113,20201117,85.67,89.92,21.31,18.93,85.53,-0.011028029810527862,0.006247231384435281,-0.012590513719462848,0.020278176167787265,-0.001168497445410921
114,114,20201116,86.62,89.36,21.58,18.55,85.63,0.01946788766853924,-0.012897666004390906,-0.021092024454725244,0.0075757938084577425,0.00151931309538611
115,115,20201113,84.95,90.52,22.04,18.41,85.5,-0.018659433504277345,-0.0008833922835975727,-0.03214562497341644,0.0,-0.012205905679503637
116,116,20201112,86.55,90.6,22.76,18.41,86.55,0.030620023716773304,0.0279816801067998,0.02311213987574856,0.005992935397610921,0.00440019237054301
117,117,20201111,83.94,88.1,22.24,18.3,86.17,0.0004766444322843455,-0.017552205785159813,-0.006275233501397359,-0.02908120930084168,-0.020446381931892077
118,118,20201110,83.9,89.66,22.38,18.84,87.95,0.029881857994120686,-0.011753101252148568,0.025799122670241648,-0.023086020034182475,-0.01601658420973351
119,119,20201109,81.43,90.72,21.81,19.28,89.37,0.010121044183530437,0.006413822716940132,0.018043515193934656,0.0300101488964013,0.005385405139717747
120,120,20201106,80.61,90.14,21.42,18.71,88.89,-0.013431290570447452,0.0457384685544282,-0.029440948805753653,-0.057128720424461044,-0.025655246826702616
121,121,20201105,81.7,86.11,22.06,19.81,91.2,0.014175892242973553,0.005239576520849276,0.00045341193250125755,0.0015155345158932576,0.011358119568470215
122,122,20201104,80.55,85.66,22.05,19.78,90.17,0.013876089886066367,0.03698180182108768,-0.03826089457254911,-0.017539913457134126,0.0002218278624894765
123,123,20201103,79.44,82.55,22.91,20.13,90.15,-0.00839867049010845,-0.010244138998563912,-0.01687986410625042,0.011491507921253419,0.010257643737266342
124,124,20201102,80.11,83.4,23.3,19.9,89.23,0.011171898033254912,0.06860753977580636,0.03805401203953762,-0.002008032803245463,0.004380306885833463
